Periodos,Total,Hombres,Mujeres
01/01/2005,4.67986878,4.44262251,5.05320973
01/02/2005,5.15554993,4.84453101,5.64760312
01/03/2005,4.90431545,4.44909894,5.6207702
01/04/2005,4.26701316,3.9732124,4.7194608
01/05/2005,4.70697067,4.83082919,4.51452936
01/06/2005,4.51415148,4.57393163,4.42306679
01/07/2005,5.28748572,4.69649964,6.18462822
01/08/2005,5.0849302,4.55775661,5.9004829
01/09/2005,4.66533076,4.59022314,4.77834846
01/10/2005,4.24638504,3.8367578,4.84420483
01/11/2005,3.99630261,3.81250108,4.278178
01/12/2005,3.52755395,3.70502723,3.25284548
01/01/2006,4.46923879,4.53848569,4.36690832
01/02/2006,4.92921001,4.85063824,5.04770571
01/03/2006,4.23984438,4.08070698,4.47743157
01/04/2006,4.13020655,3.7339864,4.72109808
01/05/2006,3.88681254,3.72006977,4.13887619
01/06/2006,4.57958703,4.46355638,4.75156491
01/07/2006,5.45095816,4.83030283,6.35246575
01/08/2006,4.78962568,4.51043745,5.21363008
01/09/2006,5.13276297,5.11836391,5.15378353
01/10/2006,4.68396862,4.25304162,5.3051151
01/11/2006,4.5395289,4.27978711,4.92948057
01/12/2006,3.99518062,3.8346285,4.23028753
01/01/2007,5.11586734,4.56803699,5.92368015
01/02/2007,5.1622074,4.76252574,5.76571022
01/03/2007,4.99333147,4.65778915,5.47668091
01/04/2007,4.57796781,4.32766031,4.95275229
01/05/2007,4.33418131,4.19110431,4.55113263
01/06/2007,4.51183401,4.37322001,4.71215832
01/07/2007,4.96282384,4.51292946,5.6343793
01/08/2007,4.81248799,4.30241673,5.59023633
01/09/2007,5.12980879,4.65387029,5.81127134
01/10/2007,4.84649218,4.77749269,4.94765466
01/11/2007,4.33879823,4.10519655,4.68387589
01/12/2007,4.06638131,4.09564322,4.02389686
01/01/2008,5.00206832,5.14624625,4.78296004
01/02/2008,5.06880264,5.00396003,5.16324742
01/03/2008,4.46439975,4.23683853,4.7935966
01/04/2008,4.24922984,4.07780822,4.50540268
